年月日,up_down,Open,High,Low,Close,Volume,Turnover rate,Market capitalization,ln_past_return,PE ratio,Dividend yield,ROA,ROE,EBT Margin,Net profit margin growth rate,Current ratio,Quick ratio,D/E ratio,Share capital,Retained earnings,TW_Index,SP_500,Semi,NASDAQ,XLK,QQQ,Fed_interest_rate,TW_unemployment_rate,TW_gdp,TW_economic_index,Rediscount_Rate,Secured_Loan_Rate,1M_Deposit_Rate,1Y_Deposit_Rate,Base_Loan_Rate,Overnight_Weighted_Rate,Commercial_Paper_Rate,10Y_Gov_Bond_Rate,Overall_Index,Food,Clothing,Housing,Transport_Communication,Healthcare,Education_Recreation,Miscellaneous
2019-12-26 00:00:00,0,16.65,16.65,16.4,16.55,26143,0.223,194045,-0.6024,47.796,3.5642,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,12001.00977,3223.379883,1862.199951,8952.879883,91.23999786,211.9199982,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-12-27 00:00:00,1,16.6,16.75,16.55,16.7,31725,0.2706,195803,0.9023,48.2292,3.5322,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,12091.58984,3239.909912,1864.48999,9022.389648,91.91999817,213.7899933,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-12-30 00:00:00,0,16.65,16.7,16.45,16.55,46454,0.3962,194045,-0.9023,47.796,3.5642,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,12053.37012,3239.909912,1864.48999,9022.389648,91.91999817,213.7899933,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-12-31 00:00:00,0,16.5,16.6,16.4,16.45,30478,0.2589,193682,-0.6061,47.5072,3.5709,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11997.13965,3221.290039,1844.390015,8945.990234,91.37999725,212.2100067,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2020-01-02 00:00:00,1,16.45,16.65,16.4,16.55,32937,0.2797,194860,0.6061,47.796,3.5493,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,12100.48047,3221.290039,1844.390015,8945.990234,91.37999725,212.2100067,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2020-01-03 00:00:00,0,16.55,16.55,16.15,16.3,48588,0.4127,191916,-1.5221,47.074,3.6037,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,12110.42969,3257.850098,1887.910034,9092.19043,93.38999939,216.1600037,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2020-01-06 00:00:00,0,16.05,16.15,15.95,16.05,44790,0.3804,188973,-1.5456,46.352,3.6598,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11953.36035,3257.850098,1887.910034,9092.19043,93.38999939,216.1600037,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2020-01-07 00:00:00,0,16.05,16.15,15.8,16,39718,0.3373,188384,-0.312,46.2076,3.6713,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11880.32031,3246.280029,1834.680054,9071.469727,92.55999756,215.5599976,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2020-01-08 00:00:00,0,15.85,15.9,15.65,15.75,60494,0.5138,185440,-1.5748,45.4856,3.7296,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11817.09961,3237.179932,1867.280029,9068.580078,92.51999664,215.5299988,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2020-01-09 00:00:00,1,15.85,16.15,15.85,16.05,43816,0.3721,188973,1.8868,46.352,3.6598,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11970.62988,3253.050049,1867.589966,9129.240234,93.51000214,217.1499939,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2020-01-10 00:00:00,1,16.2,16.25,15.85,16.15,32386,0.2751,190150,0.6211,46.6408,3.6372,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,12024.65039,3274.699951,1878.72998,9203.429688,94.56999969,218.9900055,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2020-01-13 00:00:00,0,16.15,16.2,16.05,16.05,23989,0.2037,188973,-0.6211,46.3537,3.6598,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,12113.41992,3274.699951,1878.72998,9203.429688,94.56999969,218.9900055,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2020-01-14 00:00:00,1,16.1,16.4,16.05,16.25,61290,0.5206,191327,1.2384,46.9313,3.6148,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,12179.80957,3288.129883,1890.790039,9273.929688,95.52999878,220.9499969,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2020-01-15 00:00:00,0,16.3,16.4,16.1,16.15,36473,0.3098,190150,-0.6173,46.6425,3.6372,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,12091.87988,3283.149902,1894.640015,9251.330078,95.08000183,220.0800018,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2020-01-16 00:00:00,0,16.2,16.2,16,16.15,27867,0.2367,190150,0,46.6425,3.6372,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,12066.92969,3289.290039,1872.160034,9258.700195,95.19000244,220.1699982,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2020-01-17 00:00:00,0,16.15,16.15,15.95,16,28877,0.2453,188384,-0.9331,46.2093,3.6713,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,12090.29004,3316.810059,1903.930054,9357.129883,96.47000122,222.2799988,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2020-01-20 00:00:00,1,15.85,16.15,15.85,16.05,31117,0.2643,188973,0.312,46.3537,3.6598,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,12118.70996,3316.810059,1903.930054,9357.129883,96.47000122,222.2799988,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2020-01-30 00:00:00,0,15.5,15.55,14.95,15.1,137855,1.1708,177787,-6.1014,43.61,3.8901,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11421.74023,3273.399902,1858.699951,9275.160156,97.18000031,221.8099976,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
